WardCode,WardName,Borough,type1_count,type2_count,type3_count,population,area_km2,pop_density,type1_density,type2_density,type3_density
E05009317,Bethnal Green,Tower Hamlets,2030,2403,781,21282,1.209072711403255,17601.919056877912,1678.9726381666273,1987.4735219282784,645.9495716296236
E05009318,Blackwall & Cubitt Town,Tower Hamlets,1268,1615,508,21328,1.3525209243245386,15769.072120382461,937.508601305559,1194.066554501954,375.59492859875706
E05009319,Bow East,Tower Hamlets,1489,1973,596,19723,1.8682499492683997,10556.9385979234,797.0025641285778,1056.0685419917288,319.0151297653676
E05009320,Bow West,Tower Hamlets,881,1457,541,13954,1.3584731260680616,10271.826311638706,648.522214458485,1072.5276577366774,398.2412236345521
E05009321,Bromley North,Tower Hamlets,1111,1403,371,11753,0.6000577299992572,19586.448790543116,1851.488522614941,2338.1083683427205,618.2738450856374
E05009322,Bromley South,Tower Hamlets,964,1120,323,14138,0.6916064347731934,20442.26208600335,1393.8563199113898,1619.4181310173824,467.02862171304866
E05009323,Canary Wharf,Tower Hamlets,1710,3160,756,17930,1.4238162811581605,12592.916823099804,1200.9976445901095,2219.387460178214,530.9673797135222
E05009324,Island Gardens,Tower Hamlets,707,511,365,15469,1.039262496790864,14884.593688088127,680.2901116735604,491.69483318980105,351.2105951355722
E05009325,Lansbury,Tower Hamlets,1709,2007,509,21929,1.2690134238890185,17280.3530578868,1346.7154624437294,1581.5435536129696,401.0989879367222
E05009326,Limehouse,Tower Hamlets,306,494,179,6575,0.3982546063388202,16509.539112288974,768.3526948076693,1240.4125203757799,449.46121689729677
E05009327,Mile End,Tower Hamlets,1615,2022,637,21553,1.2063103554229788,17866.878041051623,1338.7931163317576,1676.1855611286774,528.0564799401421
E05009328,Poplar,Tower Hamlets,777,1004,320,8171,0.6955223647542269,11748.004685496122,1117.145960179964,1443.5193616739818,460.0858523263687
E05009329,St Dunstan's,Tower Hamlets,953,1091,403,14928,0.681479438260125,21905.283067839075,1398.4281058179688,1600.9287129563525,591.3604686722365
E05009330,St Katharine's & Wapping,Tower Hamlets,715,1976,250,12064,1.0624922281977252,11354.435994759053,672.9460988273146,1859.7783094863967,235.29583875080928
E05009331,St Peter's,Tower Hamlets,1792,2249,660,19985,1.084037437681307,18435.710156603775,1653.0794396114068,2074.6515958069494,608.8350614640226
E05009332,Shadwell,Tower Hamlets,1154,1130,424,13423,0.6276561443858133,21385.913481552776,1838.5863188342325,1800.348821735427,675.529115412231
E05009333,Spitalfields & Banglatown,Tower Hamlets,1869,4291,862,13473,0.9122577784128458,14768.851873689086,2048.763018772723,4703.714346470709,944.9083585778959
E05009334,Stepney Green,Tower Hamlets,872,788,292,12618,0.6568122241254477,19210.970101540053,1327.6244990127536,1199.7340656216168,444.57150655014226
E05009335,Weavers,Tower Hamlets,971,2077,432,13415,0.6723124226612546,19953.520934357573,1444.269014331808,3089.337531171128,642.5584080240382
E05009336,Whitechapel,Tower Hamlets,2049,2950,939,19004,0.9576765593321419,19843.860450393484,2139.553255254486,3080.3719389949893,980.4980510902695
E05009367,Brownswood,Hackney,581,1040,345,8974,0.48893569302369766,18354.151942768985,1188.2953285880076,2127.0690907599446,705.6142656847893
E05009368,Cazenove,Hackney,711,837,266,15303,0.7370349901432968,20762.9219842395,964.6760459252621,1135.6312945702452,360.90552491718665
E05009369,Clissold,Hackney,716,974,280,12570,1.0229760537642518,12287.677657503405,699.9186318832488,952.1239489584977,273.7111968258515
E05009370,Dalston,Hackney,1138,2546,603,8870,0.5312950901329574,16695.053586473514,2141.935849087583,4792.063859206491,1134.9624929699582
E05009371,De Beauvoir,Hackney,553,1143,281,9291,0.5918133840993988,15699.205610462366,934.4161772237313,1931.35206250764,474.8118368894548
E05009372,Hackney Central,Hackney,1366,2339,543,12809,0.7774435417222872,16475.794462995924,1757.0407710556976,3008.5785969980066,698.4430005001785
E05009373,Hackney Downs,Hackney,852,1328,387,12932,1.0176742601018298,12707.40600111671,837.2030554401049,1304.9362178690837,380.27885264708993
E05009374,Hackney Wick,Hackney,1352,2013,387,12416,1.6319578982606857,7608.039406673893,828.4527446700308,1233.4877034177307,237.1384705527381
E05009375,Haggerston,Hackney,1031,1888,378,14547,0.8710421381967204,16700.6845732125,1183.6396366936199,2167.518558756115,433.96293178485774
E05009376,Homerton,Hackney,1662,2026,533,13986,0.8022929622453709,17432.534819771437,2071.562481800381,2525.2620867193573,664.3458500599296
E05009377,Hoxton East & Shoreditch,Hackney,2218,4709,1091,11728,1.0214490069416686,11481.728329361178,2171.425088209677,4610.11755652812,1068.0905190427222
E05009378,Hoxton West,Hackney,1033,1984,405,13714,0.6523470607893461,21022.551988516556,1583.5129214042295,3041.3258819612697,620.8351724769728
E05009379,King's Park,Hackney,806,922,243,13155,1.9037041783200759,6910.21228498255,423.3851084527507,484.31894540128553,127.64588257322384
E05009380,Lea Bridge,Hackney,1034,1635,431,14201,1.060097908927285,13395.932470397962,975.3816051258005,1542.3103717414738,406.5662203183946
E05009381,London Fields,Hackney,1063,2197,337,12798,1.023440014833492,12504.885303006415,1038.6539363256618,2146.681747984458,329.2816336234694
E05009382,Shacklewell,Hackney,679,1037,243,9077,0.4380454674419011,20721.593246947366,1550.067402740692,2367.3341629485976,554.7369350014553
E05009383,Springfield,Hackney,965,1337,410,15501,1.2060841383739798,12852.337168531343,800.1100166203952,1108.5462095559258,339.94311586980524
E05009384,Stamford Hill West,Hackney,319,1016,157,10327,0.683142855166079,15116.896739686168,466.959432551553,1487.2438353366076,229.820159594338
E05009385,Stoke Newington,Hackney,945,1113,429,13536,0.9538370166146092,14191.10368356476,990.7352970573801,1166.8660165342476,449.7623729498583
E05009386,Victoria,Hackney,834,1129,277,12282,0.7632303493149778,16092.127378089019,1092.723842478932,1479.2388706939018,362.9310603916836
E05009387,Woodberry Down,Hackney,1026,1502,359,12065,0.8690743718259666,13882.58633682968,1180.5663971477206,1728.2755638556303,413.0831740507132
E05009388,Abingdon,Kensington and Chelsea,590,1005,160,7981,0.6037675703077247,13218.662930061466,977.1972345240277,1664.5478316892336,265.0026398709228
E05009389,Brompton & Hans Town,Kensington and Chelsea,910,4394,293,7875,1.0661466727595912,7386.41333430842,853.541096408973,4121.384151231899,274.8214738987133
E05009390,Campden,Kensington and Chelsea,528,1737,199,8686,1.0214673290035028,8503.453564661406,516.9034632904929,1700.494916165883,194.81778256592443
E05009391,Chelsea Riverside,Kensington and Chelsea,624,962,256,7732,0.5367526724285273,14405.144859394388,1162.5466104839754,1792.259357829462,476.942199172913
E05009392,Colville,Kensington and Chelsea,915,2198,611,8615,0.49201625918519065,17509.583960227195,1859.694640000915,4467.332042319138,1241.8288798257477
E05009393,Courtfield,Kensington and Chelsea,555,1832,198,8406,0.6190389766392334,13579.112652382939,896.5509781195017,2959.425931378247,319.8506192210114
E05009394,Dalgarno,Kensington and Chelsea,934,675,278,7254,0.8904001719414765,8146.898696327728,1048.9665539523157,758.0861069783866,312.2191670222096
E05009395,Earl's Court,Kensington and Chelsea,905,1462,379,9047,0.47801165209164054,18926.316880379272,1893.2592878018395,3058.502849465513,792.8677017424278
E05009396,Golborne,Kensington and Chelsea,971,1044,483,8881,0.5584162187347247,15903.907698316538,1738.8463433245533,1869.5732053870584,864.946224331369
E05009397,Holland,Kensington and Chelsea,492,777,213,9125,1.0000870222991352,9124.205990616914,491.9571887543585,776.9323895571881,212.98146586316741
E05009398,Norland,Kensington and Chelsea,286,735,138,5691,0.5085685415080721,11190.232064146798,562.3627429882242,1445.232923413793,271.349855008304
