WardCode,WardName,Borough,area_km2,population,pop_density,typeA_count,typeB_count,typeA_density,typeB_density,atm_density,bank_density,bar_density,cafe_density,clothes_density,convenience_density,department_store_density,electronics_density,fast_food_density,jewelry_density,mall_density,nightclub_density,parking_density,pharmacy_density,pub_density,restaurant_density,station_density,supermarket_density,atm_density_log,bank_density_log,bar_density_log,cafe_density_log,clothes_density_log,convenience_density_log,department_store_density_log,electronics_density_log,fast_food_density_log,jewelry_density_log,mall_density_log,nightclub_density_log,parking_density_log,pharmacy_density_log,pub_density_log,restaurant_density_log,station_density_log,supermarket_density_log,typeA_density_log,typeB_density_log
E05009317,Bethnal Green,Tower Hamlets,1.209072711403255,21282,17601.919056877912,2811,2403,2324.9222097962506,1987.4735219282784,7.443721055911155,0.0,1.6541602346469233,9.92496140788154,0.0,15.714522229145771,0.0,0.0,12.406201759851925,0.0,0.0,0.0,1.6541602346469233,1.6541602346469233,0.0,7.443721055911155,1.6541602346469233,0.0,2.133423094849131,0.0,0.9761283088602994,2.391050208516059,0.0,2.8162779361040386,0.0,0.0,2.5957174177890927,0.0,0.0,0.0,0.9761283088602994,0.9761283088602994,0.0,2.133423094849131,0.9761283088602994,0.0,7.75187188875162,7.5951225489585275
E05009318,Blackwall & Cubitt Town,Tower Hamlets,1.3525209243245386,21328,15769.072120382461,1776,1615,1313.103529904316,1194.066554501954,4.436160574001068,0.0,5.914880765334757,9.611681243668981,0.7393600956668446,7.393600956668446,0.0,0.0,13.308481722003203,0.0,0.0,0.0,1.4787201913336891,1.4787201913336891,0.7393600956668446,23.659523061339026,1.4787201913336891,0.0,1.6930730348520904,0.0,1.9336757220663627,2.3619553984769244,0.5535172844747271,2.1274696246663507,0.0,0.0,2.6608524888481324,0.0,0.0,0.0,0.907742375094714,0.907742375094714,0.5535172844747271,3.205163156970863,0.907742375094714,0.0,7.180909985822315,7.085957156958644
E05009319,Bow East,Tower Hamlets,1.8682499492683997,19723,10556.9385979234,2085,1973,1116.0176938939455,1056.0685419917288,1.0705205696824416,0.0,2.141041139364883,8.028904272618313,2.141041139364883,5.887863133253429,0.0,0.0,4.282082278729766,0.0,0.0,0.0,0.5352602848412208,0.0,1.0705205696824416,6.42312341809465,0.0,0.5352602848412208,0.7278000585991217,0.0,1.1445543180081088,2.200431017056082,1.1445543180081088,1.929760896610566,0.0,0.0,1.6643203909459243,0.0,0.0,0.0,0.42869993333616246,0.0,0.7278000585991217,2.004599914441305,0.0,0.42869993333616246,7.018417639493379,6.963254829549987
E05009320,Bow West,Tower Hamlets,1.3584731260680616,13954,10271.826311638706,1422,1457,1046.7634380930372,1072.5276577366774,2.2083616837405846,0.0,0.7361205612468615,8.833446734962338,0.7361205612468615,4.416723367481169,0.0,1.472241122493723,9.5695672962092,0.0,0.0,0.0,1.472241122493723,0.7361205612468615,1.472241122493723,2.944482244987446,0.7361205612468615,0.0,1.1657604279572684,0.0,0.5516530615496235,2.2857895069802185,0.5516530615496235,1.6894910878955267,0.0,0.9051250763004474,2.357978862072512,0.0,0.0,0.0,0.9051250763004474,0.5516530615496235,0.9051250763004474,1.3723177023354858,0.5516530615496235,0.0,6.954413112390351,6.978705381063964
E05009321,Bromley North,Tower Hamlets,0.6000577299992572,11753,19586.448790543116,1482,1403,2469.7623677005786,2338.1083683427205,3.333012641971091,0.0,0.0,6.666025283942182,0.0,4.999518962956637,0.0,0.0,9.999037925913274,0.0,0.0,1.6665063209855455,1.6665063209855455,3.333012641971091,0.0,3.333012641971091,4.999518962956637,1.6665063209855455,1.4662630603558913,0.0,0.0,2.036798265145226,0.0,1.7916792931734806,0.0,0.0,2.397807807692798,0.0,0.0,0.9807691215734471,0.9807691215734471,1.4662630603558913,0.0,1.4662630603558913,1.7916792931734806,0.9807691215734471,7.812282032890058,7.757525096568099
E05009322,Bromley South,Tower Hamlets,0.6916064347731934,14138,20442.26208600335,1287,1120,1860.8849416244384,1619.4181310173824,2.8918180911024685,0.0,0.0,4.337727136653703,0.0,8.675454273307405,0.0,0.0,5.783636182204937,0.0,0.0,0.0,0.0,1.4459090455512342,0.0,2.8918180911024685,1.4459090455512342,0.0,1.358876424049144,0.0,0.0,1.6747999325258818,0.0,2.2695921911270003,0.0,0.0,1.914513268249188,0.0,0.0,0.0,0.0,0.8944168515986367,0.0,1.358876424049144,0.8944168515986367,0.0,7.529344663030029,7.390439500489204
E05009323,Canary Wharf,Tower Hamlets,1.4238162811581605,17930,12592.916823099804,2466,3160,1731.9650243036317,2219.387460178214,9.130391450100248,7.023378038538652,8.428053646246383,27.391174350300744,12.642080469369574,7.023378038538652,0.7023378038538652,1.4046756077077305,53.37767309289376,2.809351215415461,0.0,0.0,8.428053646246383,2.1070134115615957,2.1070134115615957,37.22390360425486,4.214026823123191,4.214026823123191,2.3155399601694873,2.08235953501064,2.243689675155955,3.3460783345571925,2.6131591678641244,2.08235953501064,0.5320024851074394,0.8774150120102606,3.9959536485295994,1.3374588899706714,0.0,0.0,2.243689675155955,1.1336619469647082,1.1336619469647082,3.6434610687158657,1.6513524599405767,1.6513524599405767,7.457589107344391,7.705436991249264
E05009324,Island Gardens,Tower Hamlets,1.039262496790864,15469,14884.593688088127,1072,511,1031.5007068091327,491.69483318980105,0.0,0.0,0.9622208085906088,3.848883234362435,0.0,5.773324851543652,0.0,0.0,2.886662425771826,0.0,0.0,0.0,0.0,1.9244416171812175,0.9622208085906088,4.811104042953044,1.9244416171812175,0.9622208085906088,0.0,0.0,0.674076897415523,1.5787484174790687,0.0,1.912992081808659,0.0,0.0,1.357550801114317,0.0,0.0,0.0,0.0,1.0731035623510892,0.674076897415523,1.7597705774160863,1.0731035623510892,0.674076897415523,6.939739009395857,6.199889982768325
E05009325,Lansbury,Tower Hamlets,1.2690134238890185,21929,17280.3530578868,2218,2007,1747.8144503804517,1581.5435536129696,3.152054915023357,0.0,0.0,13.39623338884927,1.5760274575116786,14.184247117605109,0.0,0.0,17.336302032628467,0.0,0.0,0.0,3.9400686437791967,1.5760274575116786,0.7880137287558393,3.152054915023357,0.7880137287558393,0.0,1.4236033719378176,0.0,0.0,2.666966602147698,0.9462484671572257,2.7202585166037565,0.0,0.0,2.9088828125077293,0.0,0.0,0.0,1.5973792266051514,0.9462484671572257,0.5811053549969225,1.4236033719378176,0.5811053549969225,0.0,7.466693380414469,7.36678867566992
E05009326,Limehouse,Tower Hamlets,0.3982546063388202,6575,16509.539112288974,485,494,1217.8139117049661,1240.4125203757799,0.0,0.0,5.0219130379586225,0.0,0.0,7.532869556937935,0.0,0.0,10.043826075917245,0.0,0.0,0.0,7.532869556937935,0.0,0.0,12.554782594896556,2.5109565189793113,0.0,0.0,0.0,1.795404989231033,0.0,0.0,2.1439257125441222,0.0,0.0,2.4018715456568005,0.0,0.0,0.0,2.1439257125441222,0.0,0.0,2.60673944408328,1.2558885128826978,0.0,7.105633461310414,7.124005139618864
E05009327,Mile End,Tower Hamlets,1.2063103554229788,21553,17866.878041051623,2252,2022,1866.8495962718998,1676.1855611286774,5.802818460880683,0.0,0.0,6.631792526720781,1.6579481316801952,15.750507250961855,0.0,0.0,11.605636921761366,0.0,0.0,0.0,0.0,2.486922197520293,0.8289740658400976,2.486922197520293,0.0,0.8289740658400976,1.9173370058504204,0.0,0.0,2.0323227491224904,0.9775544460600937,2.818428541452049,0.0,0.0,2.534144088658154,0.0,0.0,0.0,0.0,1.2490194552909646,0.6037551898878047,1.2490194552909646,0.0,0.6037551898878047,7.532543099632807,7.424872406345097
E05009328,Poplar,Tower Hamlets,0.6955223647542269,8171,11748.004685496122,1097,1004,1577.2318125063327,1443.5193616739818,2.8755365770398047,0.0,0.0,7.188841442599511,1.4377682885199023,4.313304865559707,0.0,0.0,8.626609731119414,0.0,0.0,0.0,10.064378019639316,1.4377682885199023,1.4377682885199023,4.313304865559707,4.313304865559707,1.4377682885199023,1.3546841247131611,0.0,0.0,2.102772427858509,0.8910829849180162,1.6702140268803038,0.0,0.0,2.264531110981624,0.0,0.0,0.0,2.403730760412858,0.8910829849180162,0.8910829849180162,1.6702140268803038,1.6702140268803038,0.8910829849180162,7.364060393345651,7.275531923536767
E05009329,St Dunstan's,Tower Hamlets,0.681479438260125,14928,21905.283067839075,1356,1091,1989.7885744902053,1600.9287129563525,8.804374223407988,0.0,0.0,10.271769927309318,1.4673957039013312,16.141352742914645,0.0,0.0,19.076144150717308,0.0,0.0,0.0,1.4673957039013312,1.4673957039013312,0.0,8.804374223407988,1.4673957039013312,0.0,2.282828635419643,0.0,0.0,2.4223013633970605,0.9031632235097263,2.841493833212579,0.0,0.0,2.999532252017821,0.0,0.0,0.0,0.9031632235097263,0.9031632235097263,0.0,2.282828635419643,0.9031632235097263,0.0,7.59628610781292,7.378963627859398
