WardCode,WardName,Borough,type1_count,type2_count,type3_count,population,area_km2,pop_density,type1_density,type2_density,type3_density
E05009317,Bethnal Green,Tower Hamlets,2030,2403,781,21282,1.21357,17536.689272147465,1672.7506447918126,1980.1082755836087,643.5557899420717
E05009318,Blackwall & Cubitt Town,Tower Hamlets,1268,1615,508,21328,1.88125,11337.142857142857,674.0199335548173,858.4717607973422,270.0332225913621
E05009319,Bow East,Tower Hamlets,1489,1973,596,19723,1.8662,10568.53499089058,797.8780409388061,1057.2285928625013,319.36555567463296
E05009320,Bow West,Tower Hamlets,881,1457,541,13954,1.3433000000000002,10387.850815156702,655.847539641182,1084.6422988163476,402.73952207250795
E05009321,Bromley North,Tower Hamlets,1111,1403,371,11753,0.60658,19375.84490091991,1831.5803356523459,2312.967786606878,611.6258366579841
E05009322,Bromley South,Tower Hamlets,964,1120,323,14138,0.68791,20552.10710703435,1401.346106322048,1628.1199575525868,469.5381663298978
E05009323,Canary Wharf,Tower Hamlets,1710,3160,756,17930,1.64207,10919.144738044055,1041.3685165675033,1924.400299621819,460.3945020614225
E05009324,Island Gardens,Tower Hamlets,707,511,365,15469,1.5081200000000001,10257.141341537808,468.79558655809876,338.83245365090306,242.0231811792165
E05009325,Lansbury,Tower Hamlets,1709,2007,509,21929,1.3156100000000002,16668.313557969304,1299.0171859441625,1525.5280820303888,386.8927721741245
E05009326,Limehouse,Tower Hamlets,306,494,179,6575,0.49612,13252.84205434169,616.7862613883738,995.7268402805772,360.7998064984278
E05009327,Mile End,Tower Hamlets,1615,2022,637,21553,1.21498,17739.386656570477,1329.2399874895061,1664.2249255131771,524.2884656537557
E05009328,Poplar,Tower Hamlets,777,1004,320,8171,0.7104,11501.97072072072,1093.75,1413.2882882882882,450.45045045045043
E05009329,St Dunstan's,Tower Hamlets,953,1091,403,14928,0.67907,21983.006170203367,1403.3899303459143,1606.609038832521,593.458700870308
E05009330,St Katharine's & Wapping,Tower Hamlets,715,1976,250,12064,1.49089,8091.810931725345,479.5793116863082,1325.382825023979,167.68507401619166
E05009331,St Peter's,Tower Hamlets,1792,2249,660,19985,1.0839100000000002,18437.87768357151,1653.2737957948536,2074.895517155483,608.9066435405152
E05009332,Shadwell,Tower Hamlets,1154,1130,424,13423,0.6427299999999999,20884.352683086214,1795.4662144290762,1758.1254959314178,659.6860267919656
E05009333,Spitalfields & Banglatown,Tower Hamlets,1869,4291,862,13473,0.9089499999999999,14822.597502612905,2056.2187139006546,4720.831728917983,948.3469937840366
E05009334,Stepney Green,Tower Hamlets,872,788,292,12618,0.64822,19465.613526271944,1345.222301070624,1215.6366665638209,450.4643485236494
E05009335,Weavers,Tower Hamlets,971,2077,432,13415,0.67536,19863.480217957833,1437.751717602464,3075.3968253968255,639.6588486140726
E05009336,Whitechapel,Tower Hamlets,2049,2950,939,19004,0.95978,19800.37091833545,2134.864239721603,3073.621038154577,978.3492050261518
E05009367,Brownswood,Hackney,581,1040,345,8974,0.48247999999999996,18599.734704029182,1204.1949925385509,2155.529762891726,715.05554634389
E05009368,Cazenove,Hackney,711,837,266,15303,0.74154,20636.782911238774,958.8154381422446,1128.7320980661866,358.71294872832215
E05009369,Clissold,Hackney,716,974,280,12570,1.01074,12436.432712665968,708.3918713022142,963.6503947602747,277.0247541405307
E05009370,Dalston,Hackney,1138,2546,603,8870,0.53498,16580.059067628696,2127.182324572881,4759.056413323862,1127.1449399977569
E05009371,De Beauvoir,Hackney,553,1143,281,9291,0.59347,15655.382748917384,931.807842013918,1925.960874180666,473.4864441336546
E05009372,Hackney Central,Hackney,1366,2339,543,12809,0.77834,16456.818357016215,1755.0170876480715,3005.113446565768,697.6385641236477
E05009373,Hackney Downs,Hackney,852,1328,387,12932,1.0184900000000001,12697.228249663716,836.5325138194778,1303.8910544040687,379.97427564335436
E05009374,Hackney Wick,Hackney,1352,2013,387,12416,1.63387,7599.135794157431,827.4832146988439,1232.0441650804532,236.8609497695655
E05009375,Haggerston,Hackney,1031,1888,378,14547,0.86724,16773.903417739035,1188.8289285549558,2177.0213551035467,435.865504358655
E05009376,Homerton,Hackney,1662,2026,533,13986,0.8050799999999999,17372.186614994785,2064.3911164107917,2516.520097381627,662.0460078501516
E05009377,Hoxton East & Shoreditch,Hackney,2218,4709,1091,11728,1.02355,11458.160324361292,2166.9679058179863,4600.654584534219,1065.8980997508672
E05009378,Hoxton West,Hackney,1033,1984,405,13714,0.64802,21162.927070152153,1594.086602265362,3061.6339001882657,624.980710471899
E05009379,King's Park,Hackney,806,922,243,13155,1.91572,6866.869897479798,420.72954293946924,481.28118931785434,126.84525922368613
E05009380,Lea Bridge,Hackney,1034,1635,431,14201,1.05971,13400.83607779487,975.7386454784801,1542.8749374828963,406.7150446820357
E05009381,London Fields,Hackney,1063,2197,337,12798,1.01739,12579.24689647038,1044.8303993552129,2159.4472129665123,331.2397409056507
E05009382,Shacklewell,Hackney,679,1037,243,9077,0.43221,21001.365077161565,1570.9955808519007,2399.2966382082786,562.226695356424
E05009383,Springfield,Hackney,965,1337,410,15501,1.2129699999999999,12779.376241786691,795.5679035755213,1102.2531472336498,338.01330618234584
E05009384,Stamford Hill West,Hackney,319,1016,157,10327,0.66974,15419.416489981186,476.30423746528504,1517.0065995759549,234.41932690297728
